tag	kvdt	moe	N	gmu	mnbt	poc_nonce_s	full	kv_tokens	moe_backend_log	cuda_errors
a_bf16	auto	-	256			16.34	1280/1280	6637190	FLASHINFER_TRTLLM	0
a_fp8	fp8	-	256			15.75	1280/1280	12735923	FLASHINFER_TRTLLM	0
b_triton	auto	triton	256			12.07	1280/1280	6662210	TRITON	0
b_flashinfer_cutlass	auto	flashinfer_cutlass	256			БУТ			
b_deep_gemm	auto	deep_gemm	256			14.52	1280/1280	6539383	DEEPGEMM	0
b_cutlass	auto	cutlass	256			БУТ			
b_marlin	auto	marlin	256			12.10	1280/1280	6462048	MARLIN	0
c_n128	auto	-	128			9.59	1280/1280	6803233	FLASHINFER_TRTLLM	0
c_n192	auto	-	192			12.59	1280/1280	6719074	FLASHINFER_TRTLLM	0
c_n320	auto	-	320			16.75	1280/1280	6573502	FLASHINFER_TRTLLM	0
c_n384	auto	-	384			16.68	1280/1280	6509814	FLASHINFER_TRTLLM	0
c_n512	auto	-	512			18.47	1280/1280	6368791	FLASHINFER_TRTLLM	0
d_gmu95	auto	-	512	0.95		20.15	1280/1280	7590234	FLASHINFER_TRTLLM	0
d_mnbt16k	auto	-	512		16384	18.61	1280/1280	6634915	FLASHINFER_TRTLLM	0
d_mnbt64k	auto	-	512		65536	16.17	1280/1280	5677322	FLASHINFER_TRTLLM	0
d_nomnbt	auto	-	512		0	19.53	1280/1280	6634915	FLASHINFER_TRTLLM	0
e_r	auto	-	512			18.92	1280/1280	6368791	FLASHINFER_TRTLLM	0
f_n512	auto	-	512	0.95		20.49	2560/2560	7590234	FLASHINFER_TRTLLM	0
f_n640	auto	-	640	0.95		20.52	2560/2560	7449211	FLASHINFER_TRTLLM	0
f_n768	auto	-	768	0.95		20.74	2560/2560	7301364	FLASHINFER_TRTLLM	0
f_n1024	auto	-	1024	0.95		21.26	2560/2560	6994297	FLASHINFER_TRTLLM	0
f_r	auto	-	1024	0.95		21.04	2560/2560	6994297	FLASHINFER_TRTLLM	0
